,matched_id,rowid,school,district_y,address_y,original_name_y
206,1953,1953,Sylmar Biotech Health and Engineering Magnet(LAUSD),Los Angeles Unified,13050 Borden Ave.,Sylmar Biotech Health and Engineering Magnet(LAUSD)
207,1684,1684,Teresa Hughes Elementary(LAUSD),Los Angeles Unified,4242 Clara St.,Teresa Hughes Elementary(LAUSD)
208,1415,1415,Thomas Starr King Middle School Film and Media Magnet(LAUSD),Los Angeles Unified,4201 Fountain Ave.,Thomas Starr King Middle School Film and Media Magnet(LAUSD)
209,1415,1415,Thomas Starr King Middle School Film and Media Magnet(LAUSD),Los Angeles Unified,4201 Fountain Ave.,Thomas Starr King Middle School Film and Media Magnet(LAUSD)
210,1380,1380,Tri-C Community Day(LAUSD),Los Angeles Unified,"716 East 14th St., Second Fl.",Tri-C Community Day(LAUSD)
211,2283,2283,University High School Charter(LAUSD),Los Angeles Unified,11800 Texas Ave.,University High School Charter(LAUSD)
212,1971,1971,Verdugo Hills Senior High(LAUSD),Los Angeles Unified,10625 Plainview Ave.,Verdugo Hills Senior High(LAUSD)
213,1971,1971,Verdugo Hills Senior High(LAUSD),Los Angeles Unified,10625 Plainview Ave.,Verdugo Hills Senior High(LAUSD)
214,1886,1886,Virgil Middle(LAUSD),Los Angeles Unified,152 North Vermont Ave.,Virgil Middle(LAUSD)
215,1924,1924,Walnut Park Elementary(LAUSD),Los Angeles Unified,2642 Olive St.,Walnut Park Elementary(LAUSD)
216,1926,1926,"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy(LAUSD)",Los Angeles Unified,7500 Marbrisa Ave.,"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy(LAUSD)"
217,1424,1424,West Adams Preparatory High(LAUSD),Los Angeles Unified,1500 West Washington Blvd.,West Adams Preparatory High(LAUSD)
218,1424,1424,West Adams Preparatory High(LAUSD),Los Angeles Unified,1500 West Washington Blvd.,West Adams Preparatory High(LAUSD)
219,1423,1423,WESM Health/Sports Medicine(LAUSD),Los Angeles Unified,7400 West Manchester Ave.,WESM Health/Sports Medicine(LAUSD)
220,1423,1423,WESM Health/Sports Medicine(LAUSD),Los Angeles Unified,7400 West Manchester Ave.,WESM Health/Sports Medicine(LAUSD)
221,1423,1423,WESM Health/Sports Medicine(LAUSD),Los Angeles Unified,7400 West Manchester Ave.,WESM Health/Sports Medicine(LAUSD)
222,1391,1391,Western Avenue Technology Magnet(LAUSD),Los Angeles Unified,1724 West 53rd St.,Western Avenue Technology Magnet(LAUSD)
223,2161,2161,Charles White Elementary(LAUSD),Los Angeles Unified,2401 Wilshire Blvd.,Charles White Elementary(LAUSD)
224,1438,1438,"Wilmington Middle Science, Technology, Engineering, Arts, Mathematics (STEAM) Magnet(LAUSD)",Los Angeles Unified,1700 Gulf Ave.,"Wilmington Middle Science, Technology, Engineering, Arts, Mathematics (STEAM) Magnet(LAUSD)"
225,1443,1443,Windsor Hills Math Science(LAUSD),Los Angeles Unified,5215 Overdale Dr.,Windsor Hills Math Science(LAUSD)
226,2144,2144,YES Academy(LAUSD),Los Angeles Unified,3140 Hyde Park Blvd.,YES Academy(LAUSD)
227,1145,1145,Alvarado Elementary (Long Beach Unified),Long Beach Unified,1400 East 20th St.,Alvarado Elementary (Long Beach Unified)
228,1146,1146,Avalon K-12 (Long Beach Unified),Long Beach Unified,200 Falls Canyon Rd.,Avalon K-12 (Long Beach Unified)
229,1146,1146,Avalon K-12 (Long Beach Unified),Long Beach Unified,200 Falls Canyon Rd.,Avalon K-12 (Long Beach Unified)
230,1146,1146,Avalon K-12 (Long Beach Unified),Long Beach Unified,200 Falls Canyon Rd.,Avalon K-12 (Long Beach Unified)
231,0,,,,,
232,1132,1132,Richard D. Browning High (Long Beach Unified),Long Beach Unified,2120 Obispo Ave.,Richard D. Browning High (Long Beach Unified)
233,1097,1097,California Academy of Mathematics and Science (Long Beach Unified),Long Beach Unified,"1000 East Victoria St., Bldg. SAC3 rm3117",California Academy of Mathematics and Science (Long Beach Unified)
234,1161,1161,Chavez Elementary (Long Beach) (Long Beach Unified),Long Beach Unified,730 West Third St.,Chavez Elementary (Long Beach) (Long Beach Unified)
235,1168,1168,Emerson Parkside Academy (Long Beach Unified),Long Beach Unified,2625 Josie Ave.,Emerson Parkside Academy (Long Beach Unified)
236,1173,1173,Fremont Elementary (Long Beach) (Long Beach Unified),Long Beach Unified,4000 East Fourth St.,Fremont Elementary (Long Beach) (Long Beach Unified)
237,1099,1099,Gompers K-8 (Long Beach Unified),Long Beach Unified,5206 Briercrest Ave.,Gompers K-8 (Long Beach Unified)
238,1112,1112,Jefferson Leadership Academies (Long Beach Unified),Long Beach Unified,750 Euclid Ave.,Jefferson Leadership Academies (Long Beach Unified)
239,1081,1081,Lindbergh STEM Academy (Long Beach Unified),Long Beach Unified,1022 East Market St.,Lindbergh STEM Academy (Long Beach Unified)
240,1082,1082,Lindsey Academy (Long Beach Unified),Long Beach Unified,5075 Daisy Ave.,Lindsey Academy (Long Beach Unified)
241,1093,1093,Marshall Academy of the Arts (Long Beach Unified),Long Beach Unified,5870 East Wardlow Rd.,Marshall Academy of the Arts (Long Beach Unified)
242,1169,1169,"Ernest S. McBride, Sr. High (Long Beach Unified)",Long Beach Unified,7025 East Parkcrest St.,"Ernest S. McBride, Sr. High (Long Beach Unified)"
243,1095,1095,Millikan High (Long Beach Unified),Long Beach Unified,2800 Snowden Ave.,Millikan High (Long Beach Unified)
244,1114,1114,Jessie Nelson Academy (Long Beach Unified),Long Beach Unified,1951 Cherry Ave.,Jessie Nelson Academy (Long Beach Unified)
245,0,,,,,
246,1128,1128,Powell Academy for Success (Long Beach Unified),Long Beach Unified,150 Victoria St.,Powell Academy for Success (Long Beach Unified)
247,0,,,,,
248,1170,1170,Eunice Sato Academy of Math & Science (Long Beach Unified),Long Beach Unified,1100 Iroquois Ave.,Eunice Sato Academy of Math & Science (Long Beach Unified)
249,0,,,,,
250,0,,,,,
251,0,,,,,
252,0,,,,,
253,0,,,,,
254,0,,,,,
