id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
718,LAUSD,Closed,Hillside Elementary (LAUSD),Hillside Elementary (South San Francisco Unified),True,120 E Avenue 35,1400 Hillside Blvd.,Los Angeles,S. San Francisco, 100.0,True
719,LAUSD,Active,Hillside Elementary (LAUSD),Hillside Elementary (South San Francisco Unified),True,120 E Avenue 35,1400 Hillside Blvd.,Los Angeles,South San Francisco, 100.0,True
720,LAUSD,Active,Hobart Boulevard Elementary (LAUSD),Hobart Boulevard Elementary,True,980 S Hobart Blvd,980 South Hobart Blvd.,Los Angeles,Los Angeles, 100.0,False
721,LAUSD,,Hobart Boulevard Elementary DL Two-Way Im Spanish (LAUSD),Hobart Boulevard Elementary DL Two-Way Im Spanish,True,980 S Hobart Bl,,Los Angeles,, 90.0,False
722,LAUSD,,Hollenbeck Middle School (LAUSD),Hollenbeck Middle School,True,2510 E 6th St,,Los Angeles,, 95.0,False
723,LAUSD,,Hollenbeck Middle School Law/Public Service Magnet (LAUSD),Hollenbeck Middle School Law/Public Service Magnet,True,2510 E 6th St,,Los Angeles,, 90.0,False
724,LAUSD,,Hollenbeck MS Science/Tech/Engineering/Math/Medicine Magnet (LAUSD),Hollenbeck MS Science/Tech/Engineering/Math/Medicine Magnet,True,2510 E 6th St,,Los Angeles,,,False
725,LAUSD,Active,Hollywood Elementary (LAUSD),Hollywood Elementary,True,1115 Tamarind Ave,1115 Tamarind Ave.,Los Angeles,Los Angeles, 100.0,False
726,LAUSD,Active,Hollywood Senior High (LAUSD),Hollywood Senior High,True,1521 N Highland Ave,1521 North Highland Ave.,Los Angeles,Los Angeles, 100.0,False
727,LAUSD,,Hollywood Senior High New Media Magnet (LAUSD),Hollywood Senior High New Media Magnet,True,1521 N Highland Ave,,Los Angeles,, 90.0,False
728,LAUSD,,Hollywood Senior High Performing Arts Magnet (LAUSD),Hollywood Senior High Performing Arts Magnet,True,1521 N Highland Ave,,Los Angeles,, 90.0,False
729,LAUSD,Active,Holmes Avenue Elementary (LAUSD),Holmes Avenue Elementary,True,5108 Holmes Ave,5108 Holmes Ave.,Los Angeles,Los Angeles, 100.0,False
730,LAUSD,Active,Hooper Avenue Elementary (LAUSD),Hooper Avenue Elementary,True,1225 E 52nd St,1225 East 52nd St.,Los Angeles,Los Angeles, 100.0,False
731,LAUSD,,Hooper Avenue Elementary DL Two-Way Im Spanish (LAUSD),Hooper Avenue Elementary DL Two-Way Im Spanish,True,1225 E 52nd St,,Los Angeles,, 90.0,False
732,LAUSD,,Hooper Avenue PC Elementary DL Two-Way Im Spanish (LAUSD),Hooper Avenue PC Elementary DL Two-Way Im Spanish,True,1280 E 52nd St,,Los Angeles,,,False
733,LAUSD,Active,Hooper Avenue Primary Center (LAUSD),Hooper Avenue Primary Center,True,1280 E 52nd St,1280 East 52nd St.,Los Angeles,Los Angeles, 100.0,False
734,LAUSD,Active,Hoover Street Elementary (LAUSD),Hoover Street Elementary,True,2726 Francis Ave,2726 Francis Ave.,Los Angeles,Los Angeles, 100.0,False
735,LAUSD,Active,Hope Street Elementary (LAUSD),Hope Street Elementary,True,7560 State St,7560 State St.,Huntington Pk,Huntington Park, 100.0,False
736,LAUSD,,Horace Mann UCLA Community School (LAUSD),Horace Mann UCLA Community School,True,7001 S St Andrews Pl,,Los Angeles,, 95.0,False
737,LAUSD,Active,Hubbard Street Elementary (LAUSD),Hubbard Street Elementary,True,13325 Hubbard St,13325 Hubbard St.,Sylmar,Sylmar, 100.0,False
738,LAUSD,,Hubbard Street Elementary STEAM Magnet (LAUSD),Hubbard Street Elementary STEAM Magnet,True,13325 Hubbard St,,Sylmar,, 90.0,False
739,LAUSD,,Hubert Howe Bancroft Middle School (LAUSD),Hubert Howe Bancroft Middle School,True,929 N Las Palmas Ave,,Los Angeles,, 95.0,False
740,LAUSD,,Hubert Howe Bancroft Middle School Gifted STEAM Magnet (LAUSD),Hubert Howe Bancroft Middle School Gifted STEAM Magnet,True,929 N Las Palmas Ave,,Los Angeles,, 90.0,False
741,LAUSD,,Hubert Howe Bancroft Middle School Performing Arts Magnet (LAUSD),Hubert Howe Bancroft Middle School Performing Arts Magnet,True,929 N Las Palmas Ave,,Los Angeles,, 90.0,False
742,LAUSD,Active,Humphreys Avenue Elementary (LAUSD),Humphreys Avenue Elementary,True,500 S Humphreys Ave,500 South Humphreys Ave.,Los Angeles,Los Angeles, 100.0,False
743,LAUSD,,Humphreys Avenue Elementary DL Two-Way Im Spanish (LAUSD),Humphreys Avenue Elementary DL Two-Way Im Spanish,True,500 S Humphreys Ave,,Los Angeles,, 90.0,False
744,LAUSD,,Humphreys Avenue Elementary Science/Tech/Math Magnet (LAUSD),Humphreys Avenue Elementary Science/Tech/Math Magnet,True,500 S Humphreys Ave,,Los Angeles,, 90.0,False
745,LAUSD,Active,Huntington Drive Elementary (LAUSD),Huntington Drive Elementary,True,4435 N Huntington Dr,4435 North Huntington Dr.,Los Angeles,Los Angeles, 100.0,False
746,LAUSD,,Huntington Drive Elementary DL Two-Way Im Spanish (LAUSD),Huntington Drive Elementary DL Two-Way Im Spanish,True,4435 N Huntington Dr,,Los Angeles,, 90.0,False
747,LAUSD,,Huntington Park  Elementary DL Two-Way Im Spanish (LAUSD),Huntington Park  Elementary DL Two-Way Im Spanish,True,6055 Corona Ave,,Huntington Park,,,False
748,LAUSD,Active,Huntington Park Elementary (LAUSD),Huntington Park Elementary,True,6055 Corona Ave,6055 Corona Ave.,Huntington Pk,Huntington Park, 100.0,False
