school,district,street,city,state,zip
STEAM Academy @ Burke (El Rancho Unified),El Rancho Unified,8101 Orange Ave.,Pico Rivera,CA,90660-5312
Valencia Academy of the Arts (El Rancho Unified),El Rancho Unified,9241 East Cosgrove St.,Pico Rivera,CA,90660-3265
Waterhouse Guild (El Segundo Unified),El Segundo Unified,591 East Palm Ave.,El Segundo,CA,90245-2202
Arena High (Continuation) (El Segundo Unified),El Segundo Unified,630 Arena St.,El Segundo,CA,90245-3036
Center Street Elementary (El Segundo Unified),El Segundo Unified,700 Center St.,El Segundo,CA,90245-3207
El Segundo High (El Segundo Unified),El Segundo Unified,640 Main St.,El Segundo,CA,90245-3057
El Segundo Middle (El Segundo Unified),El Segundo Unified,332 Center St.,El Segundo,CA,90245-4047
Futures Academy - Manhattan Beach (El Segundo Unified),El Segundo Unified,"2101 Rosecrans Ave., Ste. 1225",El Segundo,CA,90245-4786
Richmond Street Elementary (El Segundo Unified),El Segundo Unified,615 Richmond St.,El Segundo,CA,90245-2283
Equitas Academy 2 (Equitas Academy District),Equitas Academy District,2723 West 8th St.,Los Angeles,CA,90005-1226
Equitas Academy 3 (Equitas Academy District),Equitas Academy District,1050 Beacon Ave.,Los Angeles,CA,90015
Equitas Academy 4 (Equitas Academy District),Equitas Academy District,631 S. Commonwealth Ave.,Los Angeles,CA,90005-4003
Equitas Academy 5 (Equitas Academy District),Equitas Academy District,1050 Beacon Ave.,Los Angeles,CA,90015-1910
Equitas Academy 6 (Equitas Academy District),Equitas Academy District,631 South Commonwealth Ave.,Los Angeles,CA,90005-2410
Equitas Academy Charter (Equitas Academy District),Equitas Academy District,1700 West Pico Blvd.,Los Angeles,CA,90015-2412
Fenton Avenue Charter (Fenton District),Fenton District,11828 Gain St.,Lake View Terrace,CA,91342-7132
Fenton Charter Leadership Academy (Fenton District),Fenton District,8926 Sunland Blvd.,Sun Valley,CA,91352-2843
Fenton Primary Center (Fenton District),Fenton District,11351 Dronfield Ave.,Pacoima,CA,91331-1404
Bitely (Arlene) Elementary (Garvey Elementary),Garvey Elementary,7501 East Fern Ave.,Rosemead,CA,91770-2922
Dewey Avenue Elementary (Garvey Elementary),Garvey Elementary,525 Dewey Ave.,San Gabriel,CA,91776-3901
Duff Language Magnet Academy (Garvey Elementary),Garvey Elementary,7830 Dorothy Ave.,Rosemead,CA,91770-2332
Emerson (Ralph Waldo) Elementary (Garvey Elementary),Garvey Elementary,7544 East Emerson Pl.,Rosemead,CA,91770-2210
Garvey (Richard) Intermediate (Garvey Elementary),Garvey Elementary,2720 North Jackson Ave.,Rosemead,CA,91770-2935
Hillcrest Elementary (Garvey Elementary),Garvey Elementary,795 Pepper St.,Monterey Park,CA,91755-5715
Monterey Vista Elementary (Garvey Elementary),Garvey Elementary,901 East Graves Ave.,Monterey Park,CA,91755-4223
Rice (Eldridge) Elementary (Garvey Elementary),Garvey Elementary,2150 North Angelus Ave.,Rosemead,CA,91770-3619
Sanchez (George I.) Elementary (Garvey Elementary),Garvey Elementary,8470 East Fern Ave.,Rosemead,CA,91770-3261
St. Anthony (Garvey Elementary),Garvey Elementary,1905 South San Gabriel Blvd.,San Gabriel,CA,91776-3931
Temple (Roger W.) Intermediate (Garvey Elementary),Garvey Elementary,8510 East Fern Ave.,Rosemead,CA,91770-3261
Willard (Frances E.) Elementary (Rosemead) (Garvey Elementary),Garvey Elementary,3152 North Willard Ave.,Rosemead,CA,91770-2758
Glendale Community College (Glendale Community College District),Glendale Community College District,,,,
La Crescenta Montessori school (Glendale Unified),Glendale Unified,3811 foothill,La Crescenta,CA,91214-1619
Mark Keppel Elementary (Glendale Unified),Glendale Unified,730 Glenwood Rd.,Glendale,CA,91202-1524
Monte Vista Elementary (Glendale Unified),Glendale Unified,2620 Orange Ave.,La Crescenta,CA,91214-2199
Montrose Christian Montessori School (Glendale Unified),Glendale Unified,2545 Honolulu Ave,Montrose,CA,91020-1805
Mountain Avenue Elementary (Glendale Unified),Glendale Unified,2307 Mountain Ave.,La Crescenta,CA,91214-3135
Pacific Avenue - Early Bird Preschool (Glendale Unified),Glendale Unified,440 West Lomita Ave.,Glendale,CA,91204-1512
R. D. White Elementary (Glendale Unified),Glendale Unified,744 East Doran St.,Glendale,CA,91206-2422
Robbin's Nest Preschool and Kindergarten (Glendale Unified),Glendale Unified,2912 Honolulu Ave.,La Crescenta,CA,91214-3909
Rosemont Middle (Glendale Unified),Glendale Unified,4725 Rosemont Ave.,La Crescenta,CA,91214-3146
Salem Lutheran School (Glendale Unified),Glendale Unified,1211 N. Brand Blvd.,Glendale,CA,91202-1959
St. James -Holy Redeemer School (Glendale Unified),Glendale Unified,4635 Dunsmore Ave.,La Crescenta,CA,91214-1812
St. Mary's Church Armenian Kindergarten (Glendale Unified),Glendale Unified,1200 East Carlton Dr.,Glendale,CA,91205-1410
Theodore Roosevelt Middle (Glendale Unified),Glendale Unified,222 East Acacia Ave.,Glendale,CA,91206-2805
Thomas Edison Elementary (Glendale Unified),Glendale Unified,435 South Pacific Ave.,Glendale,CA,91204-1441
Thomas Jefferson Elementary (Glendale Unified),Glendale Unified,1540 Fifth St.,Glendale,CA,91201-1925
Valley View Elementary (Glendale Unified),Glendale Unified,4900 Maryland Ave.,La Crescenta,CA,91214-1245
Verdugo Academy (Glendale Unified),Glendale Unified,4717 Dunsmore Ave.,La Crescenta,CA,91214-1814
Verdugo Woodlands Elementary (Glendale Unified),Glendale Unified,1751 North Verdugo Rd.,Glendale,CA,91208-2999
Woodrow Wilson Middle (Glendale Unified),Glendale Unified,1221 Monterey Rd.,Glendale,CA,91206-2521
Abraham Lincoln Elementary (La Crescenta) (Glendale Unified),Glendale Unified,4310 New York Ave.,La Crescenta,CA,91214-2567
Anderson W. Clark Magnet High (Glendale Unified),Glendale Unified,4747 New York Ave.,La Crescenta,CA,91214-1841
Armenian Sisters' Academy of Los Angeles (Glendale Unified),Glendale Unified,2361 Florencita Ave.,Montrose,CA,91020-1817
"Artek Child Education Center, Inc. (Glendale Unified)",Glendale Unified,546 West BRd.way,Glendale,CA,91204
Balboa Elementary (Glendale Unified),Glendale Unified,1844 Bel Aire Dr.,Glendale,CA,91201-1173
Benjamin Franklin Elementary (Glendale Unified),Glendale Unified,1610 Lake St.,Glendale,CA,91201-2610
Cerritos Elementary (Glendale Unified),Glendale Unified,120 East Cerritos Ave.,Glendale,CA,91205-3107
Jewel City Community Day (Glendale Unified),Glendale Unified,440 West Lomita,Glendale,CA,91204-1512
John C. Fremont Elementary (Glendale Unified),Glendale Unified,3320 Las Palmas Ave.,Glendale,CA,91208-1525
John Marshall Elementary (Glendale Unified),Glendale Unified,1201 East Broadway,Glendale,CA,91205-1407
John Muir Elementary (Glendale Unified),Glendale Unified,912 South Chevy Chase Dr.,Glendale,CA,91205-2540
La Crescenta Elementary (Glendale Unified),Glendale Unified,4343 La Crescenta Ave.,La Crescenta,CA,91214-3806
Chamlian Armenian School (Glendale Unified),Glendale Unified,4444 Lowell Ave.,Glendale,CA,91214-2366
Cloud Preschool (Glendale Unified),Glendale Unified,4444 Cloud Ave.,La Crescenta,CA,91214-3440
College View (Glendale Unified),Glendale Unified,1700 East Mountain St.,Glendale,CA,91207-1246
Columbus Elementary (Glendale Unified),Glendale Unified,425 West Milford St.,Glendale,CA,91203-1708
Crescenta Valley High (Glendale Unified),Glendale Unified,2900 Community Ave.,La Crescenta,CA,91214-3471
Daily (Allan F.) High (Continuation) (Glendale Unified),Glendale Unified,220 North Kenwood,Glendale,CA,91206-4209
Dunsmore Elementary (Glendale Unified),Glendale Unified,4717 Dunsmore Ave.,La Crescenta,CA,91214-1814
Eleanor J. Toll Middle (Glendale Unified),Glendale Unified,700 Glenwood Rd.,Glendale,CA,91202-1524
Elliott Institute Inc. (Glendale Unified),Glendale Unified,2506 Foothill Blvd.,La Crescenta,CA,91214-3506
First Steps (Glendale Unified),Glendale Unified,6245 Honolulu Ave,La Crescenta,CA,91214-2347
FM International School (Glendale Unified),Glendale Unified,2851 Altura Ave.,La Crescenta,CA,91214-3457
Glendale Adventist Academy (Glendale Unified),Glendale Unified,700 Kimlin Dr,Glendale,CA,91206-1641
Glendale High (Glendale Unified),Glendale Unified,1440 East Broadway,Glendale,CA,91205-1503
Glendale Montessori School (Glendale Unified),Glendale Unified,413 West Doran St.,Glendale,CA,91203-1714
Glenoaks Elementary (Glendale Unified),Glendale Unified,2015 East Glenoaks Blvd.,Glendale,CA,91206-2911
Herbert Hoover High (Glendale Unified),Glendale Unified,651 Glenwood Rd.,Glendale,CA,91202-1552
Holy Family Elementary (Glendale Unified),Glendale Unified,400 South Louise St.,Glendale,CA,91205-1624
Holy Family High School (Glendale Unified),Glendale Unified,400 East Lomita Ave.,Glendale,CA,91205-1622
Horace Mann Elementary (Glendale Unified),Glendale Unified,501 East Acacia Ave.,Glendale,CA,91205-2823
Incarnation Elementary (Glendale Unified),Glendale Unified,123 West Glenoaks Blvd.,Glendale,CA,91202-2908
Cullen Elementary (Glendora Unified),Glendora Unified,440 North Live Oak Ave.,Glendora,CA,91741-2734
Foothill Christian (Glendora Unified),Glendora Unified,242 West Baseline Rd.,Glendora,CA,91740-4819
Glendora Adult (Glendora Unified),Glendora Unified,500 North Loraine Ave.,Glendora,CA,91741-2964
Glendora High (Glendora Unified),Glendora Unified,1600 East Foothill Blvd.,Glendora,CA,91741-3024
Goddard Middle (Glendora Unified),Glendora Unified,859 East Sierra Madre Ave.,Glendora,CA,91741-2858
Hope Lutheran Elementary (Glendora Unified),Glendora Unified,1041 East Foothill Blvd.,Glendora,CA,91741-3673
La Fetra Elementary (Glendora Unified),Glendora Unified,547 West Bennett Ave.,Glendora,CA,91741-2409
Sandburg Middle (Glendora Unified),Glendora Unified,819 West Bennett Ave.,Glendora,CA,91741-2402
Sellers Elementary (Glendora Unified),Glendora Unified,500 North Loraine Ave.,Glendora,CA,91741-2964
St. Dorothy Elementary School (Glendora Unified),Glendora Unified,215 South Valley Ctr.,Glendora,CA,91741-3854
St. Lucy's Priory High School (Glendora Unified),Glendora Unified,655 West Sierra Madre Ave.,Glendora,CA,91741-1955
Stanton Elementary (Glendora Unified),Glendora Unified,725 South Vecino Ave.,Glendora,CA,91740-4109
Sutherland Elementary (Glendora Unified),Glendora Unified,1330 North Amelia Ave.,Glendora,CA,91740-5363
Whitcomb Continuation High (Glendora Unified),Glendora Unified,350 West Mauna Loa Ave.,Glendora,CA,91740-4399
Williams Educational Center (Glendora Unified),Glendora Unified,301 South Loraine Ave.,Glendora,CA,91741-3638
Gorman Elementary (Gorman Joint),Gorman Joint,49847 Gorman School Rd.,Gorman,CA,93243-0104
Gorman Learning Center (Gorman Joint),Gorman Joint,1826 Orange Tree Ln.,Redlands,CA,92374-2821
Alain Leroy Locke College Preparatory Academy (Green Dot Charter Schools District),Green Dot Charter Schools District,325 East 111th St.,Los Angeles,CA,90061-3003
Oscar De La Hoya Animo Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,1114 South Lorena St.,Los Angeles,CA,90023-2915
Animo Inglewood Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,3425 West Manchester Blvd.,Inglewood,CA,90305-2101
Green Dot (Green Dot Charter Schools District),Green Dot Charter Schools District,,,,
Animo Compton Charter (Green Dot Charter Schools District),Green Dot Charter Schools District,13305 South San Pedro St.,Los Angeles,CA,90061-2254
Animo Leadership High (Green Dot Charter Schools District),Green Dot Charter Schools District,11044 South Freeman Ave.,Inglewood,CA,90301-2902
Animo City of Champions Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,9330 South Eighth Ave.,Inglewood,CA,90305-2914
Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,4360 Dozier St.,Los Angeles,CA,90022-1840
Animo Florence-Firestone Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,8255 Beach St.,Los Angeles,CA,90001-4014
Animo Jackie Robinson High (Green Dot Charter Schools District),Green Dot Charter Schools District,3500 South Hill St.,Los Angeles,CA,90007-4333
Animo James B. Taylor Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,810 East 111th Pl.,Los Angeles,CA,90059-1520
